wave,flux
3873.221260377469,0.0
3873.2318545135518,0.0
3873.242448678612,0.0
3873.2530428726536,0.0
3873.263637095669,0.0
3873.2742313476615,0.0
3873.2848256286356,0.0
3873.295419938584,0.0
3873.30601427751,0.0
3873.316608645414,0.0
3873.3272030422995,0.0
3873.33779746816,0.0
3873.3483919229975,0.0
3873.358986406814,0.0
3873.3695809196124,0.0
3873.3801754613855,0.0
3873.390770032137,0.0
3873.4013646318713,0.0
3873.41195926058,0.0
3873.422553918267,0.0
3873.433148604933,0.0
3873.4437433205826,0.0
3873.4543380652062,0.0
3873.4649328388095,0.0
3873.4755276413953,0.0
3873.4861224729566,0.0
3873.496717333497,0.0
3873.507312223017,0.0
3873.5179071415205,0.0
3873.528502088999,0.0
3873.5390970654576,0.0
3873.5496920708956,0.0
3873.5602871053175,0.0
3873.570882168715,0.0
3873.5814772610925,0.0
3873.592072382454,0.0
3873.602667532791,0.0
3873.6132627121087,0.0
3873.623857920407,0.0
3873.6344531576888,0.0
3873.645048423947,0.0
3873.655643719186,0.0
3873.66623904341,0.0
3873.67683439661,0.0
3873.687429778791,0.0
3873.698025189952,0.0
3873.7086206300987,0.0
3873.7192160992217,0.0
3873.7298115973263,0.0
3873.7404071244114,0.0
3873.751002680482,0.0
3873.7615982655298,0.0
3873.772193879559,0.0
3873.7827895225737,0.0
3873.7933851945654,0.0
3873.803980895539,0.0
3873.8145766254943,0.0
3873.825172384435,0.0
3873.8357681723537,0.0
3873.8463639892543,0.0
3873.856959835141,0.0
3873.8675557100055,0.0
3873.8781516138524,0.0
3873.8887475466813,0.0
3873.8993435084963,0.0
3873.90993949929,0.0
3873.9205355190657,0.0
3873.931131567824,0.0
3873.9417276455692,0.0
3873.952323752293,0.0
3873.9629198879993,0.0
3873.973516052693,0.0
3873.984112246365,0.0
3873.99470846902,0.0
3874.0053047206584,0.0
3874.015901001284,0.0
3874.0264973108883,0.0
3874.0370936494764,0.0
3874.0476900170515,0.0
3874.0582864136063,0.0
3874.068882839145,0.0
3874.0794792936667,0.0
3874.090075777176,0.0
3874.1006722896655,0.0
3874.1112688311387,0.0
3874.121865401596,0.0
3874.1324620010414,0.0
3874.1430586294664,0.0
3874.153655286876,0.0
3874.1642519732736,0.0
3874.1748486886518,0.0
3874.185445433014,0.0
3874.196042206361,0.0
3874.206639008697,0.0
3874.217235840013,0.0
3874.227832700314,0.0
3874.2384295896036,0.0
3874.2490265078745,0.0
3874.25962345513,0.0
3874.2702204313705,0.0
3874.2808174366005,0.0
3874.291414470811,0.0
3874.3020115340078,0.0
3874.312608626193,0.0
3874.32320574736,0.0
3874.3338028975127,0.0
3874.3444000766513,0.0
3874.354997284779,0.0
3874.3655945218884,0.0
3874.376191787984,0.0
3874.3867890830657,0.0
3874.3973864071368,0.0
3874.4079837601903,0.0
3874.41858114223,0.0
3874.4291785532596,0.0
3874.439775993272,0.0
3874.4503734622704,0.0
3874.4609709602555,0.0
3874.4715684872313,0.0
3874.4821660431894,0.0
3874.4927636281345,0.0
3874.5033612420702,0.0
